timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732554945284,738,Anasayfa,200,OK,TC01-Thread Group 1-7,text,true,,458790,492,25,50,https://2nhaber.com/,340,0,121
1732554945303,765,https://2nhaber.com/,200,OK,TC02-Thread Group 2-7,text,true,,458797,492,25,50,https://2nhaber.com/,288,0,123
1732554945244,840,Anasayfa,200,OK,TC01-Thread Group 1-6,text,true,,458811,492,25,50,https://2nhaber.com/,393,0,158
1732554945263,859,https://2nhaber.com/,200,OK,TC02-Thread Group 2-6,text,true,,458811,492,25,50,https://2nhaber.com/,374,0,139
1732554945097,1069,https://2nhaber.com/,200,OK,TC02-Thread Group 2-1,text,true,,458811,492,25,50,https://2nhaber.com/,529,0,305
1732554945099,1085,https://2nhaber.com/,200,OK,TC02-Thread Group 2-2,text,true,,458797,492,25,50,https://2nhaber.com/,534,0,303
1732554945182,1007,https://2nhaber.com/,200,OK,TC02-Thread Group 2-4,text,true,,458811,492,25,50,https://2nhaber.com/,409,0,217
1732554945324,865,Anasayfa,200,OK,TC01-Thread Group 1-8,text,true,,458797,492,25,50,https://2nhaber.com/,313,0,114
1732554945502,699,https://2nhaber.com/,200,OK,TC02-Thread Group 2-12,text,true,,458790,492,25,50,https://2nhaber.com/,216,0,117
1732554945124,1079,Anasayfa,200,OK,TC01-Thread Group 1-3,text,true,,458811,492,25,50,https://2nhaber.com/,544,0,276
1732554945340,879,https://2nhaber.com/,200,OK,TC02-Thread Group 2-8,text,true,,458811,492,25,50,https://2nhaber.com/,342,0,119
1732554945362,885,Anasayfa,200,OK,TC01-Thread Group 1-9,text,true,,458797,492,25,50,https://2nhaber.com/,307,0,116
1732554945205,1049,Anasayfa,200,OK,TC01-Thread Group 1-5,text,true,,458811,492,25,50,https://2nhaber.com/,479,0,196
1732554945402,856,Anasayfa,200,OK,TC01-Thread Group 1-10,text,true,,458790,492,25,50,https://2nhaber.com/,299,0,121
1732554945223,1050,https://2nhaber.com/,200,OK,TC02-Thread Group 2-5,text,true,,458796,492,25,50,https://2nhaber.com/,406,0,175
1732554945462,828,https://2nhaber.com/,200,OK,TC02-Thread Group 2-11,text,true,,458811,492,25,50,https://2nhaber.com/,322,0,118
1732554945440,858,Anasayfa,200,OK,TC01-Thread Group 1-11,text,true,,458811,492,25,50,https://2nhaber.com/,344,0,117
1732554945382,938,https://2nhaber.com/,200,OK,TC02-Thread Group 2-9,text,true,,458804,492,25,50,https://2nhaber.com/,308,0,116
1732554945641,700,Anasayfa,200,OK,TC01-Thread Group 1-16,text,true,,458797,492,25,50,https://2nhaber.com/,223,0,126
1732554945423,948,https://2nhaber.com/,200,OK,TC02-Thread Group 2-10,text,true,,458804,492,25,50,https://2nhaber.com/,299,0,116
1732554945485,894,Anasayfa,200,OK,TC01-Thread Group 1-12,text,true,,458804,492,25,50,https://2nhaber.com/,310,0,114
1732554945097,1307,Anasayfa,200,OK,TC01-Thread Group 1-2,text,true,,458811,492,25,50,https://2nhaber.com/,524,0,304
1732554945683,723,Anasayfa,200,OK,TC01-Thread Group 1-17,text,true,,458797,492,25,50,https://2nhaber.com/,268,0,124
1732554945542,904,https://2nhaber.com/,200,OK,TC02-Thread Group 2-13,text,true,,458804,492,25,50,https://2nhaber.com/,219,0,119
1732554945701,771,https://2nhaber.com/,200,OK,TC02-Thread Group 2-17,text,true,,458796,492,25,50,https://2nhaber.com/,371,0,160
1732554945562,952,Anasayfa,200,OK,TC01-Thread Group 1-14,text,true,,458811,492,25,50,https://2nhaber.com/,220,0,116
1732554945801,769,Anasayfa,200,OK,TC01-Thread Group 1-20,text,true,,458797,492,25,50,https://2nhaber.com/,393,0,257
1732554945765,807,Anasayfa,200,OK,TC01-Thread Group 1-19,text,true,,458797,492,25,50,https://2nhaber.com/,374,0,224
1732554945819,773,https://2nhaber.com/,200,OK,TC02-Thread Group 2-20,text,true,,458811,492,25,50,https://2nhaber.com/,387,0,264
1732554945580,1017,https://2nhaber.com/,200,OK,TC02-Thread Group 2-14,text,true,,458811,492,25,50,https://2nhaber.com/,218,0,122
1732554945601,1004,Anasayfa,200,OK,TC01-Thread Group 1-15,text,true,,458804,492,25,50,https://2nhaber.com/,199,0,116
1732554945882,732,Anasayfa,200,OK,TC01-Thread Group 1-22,text,true,,458790,492,25,50,https://2nhaber.com/,384,0,273
1732554945841,777,Anasayfa,200,OK,TC01-Thread Group 1-21,text,true,,458796,492,25,50,https://2nhaber.com/,373,0,253
1732554945859,760,https://2nhaber.com/,200,OK,TC02-Thread Group 2-21,text,true,,458790,492,25,50,https://2nhaber.com/,403,0,291
1732554945523,1106,Anasayfa,200,OK,TC01-Thread Group 1-13,text,true,,458804,492,25,50,https://2nhaber.com/,272,0,123
1732554945942,699,https://2nhaber.com/,200,OK,TC02-Thread Group 2-23,text,true,,458804,492,25,50,https://2nhaber.com/,350,0,251
1732554945981,700,https://2nhaber.com/,200,OK,TC02-Thread Group 2-24,text,true,,458796,492,25,50,https://2nhaber.com/,335,0,247
1732554946000,688,Anasayfa,200,OK,TC01-Thread Group 1-25,text,true,,458790,492,25,50,https://2nhaber.com/,327,0,245
1732554945961,749,Anasayfa,200,OK,TC01-Thread Group 1-24,text,true,,458790,492,25,50,https://2nhaber.com/,337,0,243
